problem_name,cost,approx_ratio
g05_60.0,518.0,0.9664179104477612
g05_60.1,506.0,0.9511278195488722
g05_60.2,492.0,0.9300567107750473
g05_60.3,479.0,0.8903345724907064
g05_60.4,505.0,0.9582542694497154
g05_60.5,510.0,0.9568480300187617
g05_60.6,512.0,0.9642184557438794
g05_60.7,510.0,0.9532710280373832
g05_60.8,503.0,0.9490566037735849
g05_60.9,519.0,0.9737335834896811
g05_80.0,873.0,0.9397201291711518
g05_80.1,877.0,0.9319872476089267
g05_80.2,902.0,0.9657387580299786
g05_80.3,893.0,0.9674972914409534
g05_80.4,901.0,0.9667381974248928
g05_80.5,878.0,0.9481641468682506
g05_80.6,889.0,0.9569429494079655
g05_80.7,889.0,0.9569429494079655
g05_80.8,896.0,0.9686486486486486
g05_80.9,896.0,0.9707475622968581
g05_100.0,1400.0,0.9790209790209791
g05_100.1,1330.0,0.9333333333333333
g05_100.2,1317.0,0.9196927374301676
g05_100.3,1360.0,0.9550561797752809
g05_100.4,1361.0,0.9451388888888889
g05_100.5,1297.0,0.9032033426183844
g05_100.6,1411.0,0.9839609483960948
g05_100.7,1369.0,0.9566736547868623
g05_100.8,1302.0,0.909217877094972
g05_100.9,1364.0,0.9538461538461539
