problem_name,cost,approx_ratio,n_steps
g05_60.0,506.0,0.9440298507462687,62
g05_60.1,516.0,0.9699248120300752,64
g05_60.2,516.0,0.9754253308128544,19
g05_60.3,492.0,0.9144981412639405,136
g05_60.4,485.0,0.920303605313093,1
g05_60.5,509.0,0.9549718574108818,15
g05_60.6,504.0,0.9491525423728814,13
g05_60.7,527.0,0.9850467289719627,9
g05_60.8,498.0,0.939622641509434,21
g05_60.9,488.0,0.9155722326454033,118
g05_80.0,854.0,0.9192680301399354,17
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,878.0,0.9400428265524625,7
g05_80.3,892.0,0.9664138678223185,21
g05_80.4,862.0,0.924892703862661,11
g05_80.5,844.0,0.9114470842332614,3
g05_80.6,910.0,0.9795479009687836,12
g05_80.7,891.0,0.9590958019375673,16
g05_80.8,827.0,0.894054054054054,1
g05_80.9,847.0,0.9176598049837487,4
g05_100.0,1303.0,0.9111888111888112,1
g05_100.1,1328.0,0.9319298245614035,4
g05_100.2,1320.0,0.9217877094972067,4
g05_100.3,1378.0,0.9676966292134831,12
g05_100.4,1372.0,0.9527777777777777,15
g05_100.5,1335.0,0.9296657381615598,9
g05_100.6,1304.0,0.9093444909344491,2
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1302.0,0.909217877094972,1
g05_100.9,1307.0,0.913986013986014,2
