problem_name,cost,approx_ratio,n_steps
g05_60.0,522.0,0.9738805970149254,64
g05_60.1,515.0,0.9680451127819549,159
g05_60.2,492.0,0.9300567107750473,15
g05_60.3,520.0,0.966542750929368,88
g05_60.4,508.0,0.9639468690702088,71
g05_60.5,516.0,0.9681050656660413,169
g05_60.6,516.0,0.9717514124293786,89
g05_60.7,523.0,0.9775700934579439,16
g05_60.8,517.0,0.9754716981132076,12
g05_60.9,518.0,0.9718574108818011,23
g05_80.0,847.0,0.9117330462863293,12
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,902.0,0.9657387580299786,23
g05_80.3,902.0,0.9772481040086674,182
g05_80.4,915.0,0.9817596566523605,28
g05_80.5,900.0,0.9719222462203023,20
g05_80.6,909.0,0.9784714747039828,21
g05_80.7,905.0,0.9741657696447793,6
g05_80.8,906.0,0.9794594594594594,13
g05_80.9,896.0,0.9707475622968581,13
g05_100.0,1312.0,0.9174825174825175,5
g05_100.1,1384.0,0.9712280701754386,25
g05_100.2,1323.0,0.9238826815642458,11
g05_100.3,1318.0,0.925561797752809,5
g05_100.4,1382.0,0.9597222222222223,8
g05_100.5,1323.0,0.9213091922005571,4
g05_100.6,1379.0,0.9616457461645747,16
g05_100.7,1369.0,0.9566736547868623,9
g05_100.8,1391.0,0.9713687150837989,20
g05_100.9,1357.0,0.948951048951049,54
