problem_name,cost,approx_ratio,n_steps
g05_60.0,525.0,0.9794776119402985,61
g05_60.1,514.0,0.9661654135338346,136
g05_60.2,517.0,0.9773156899810964,3
g05_60.3,522.0,0.9702602230483272,40
g05_60.4,489.0,0.9278937381404174,13
g05_60.5,501.0,0.9399624765478424,25
g05_60.6,519.0,0.9774011299435028,6
g05_60.7,492.0,0.9196261682242991,1
g05_60.8,523.0,0.9867924528301887,66
g05_60.9,522.0,0.9793621013133208,86
g05_80.0,851.0,0.9160387513455328,3
g05_80.1,860.0,0.9139213602550478,1
g05_80.2,852.0,0.9122055674518201,5
g05_80.3,903.0,0.9783315276273022,17
g05_80.4,842.0,0.9034334763948498,5
g05_80.5,869.0,0.9384449244060475,21
g05_80.6,885.0,0.9526372443487621,13
g05_80.7,884.0,0.9515608180839612,48
g05_80.8,858.0,0.9275675675675675,2
g05_80.9,893.0,0.9674972914409534,28
g05_100.0,1303.0,0.9111888111888112,1
g05_100.1,1291.0,0.9059649122807018,2
g05_100.2,1306.0,0.9120111731843575,3
g05_100.3,1324.0,0.9297752808988764,5
g05_100.4,1293.0,0.8979166666666667,1
g05_100.5,1308.0,0.9108635097493036,2
g05_100.6,1294.0,0.902370990237099,1
g05_100.7,1297.0,0.9063591893780573,1
g05_100.8,1322.0,0.9231843575418994,3
g05_100.9,1329.0,0.9293706293706294,2
