problem_name,cost,approx_ratio
g05_60.0,465.0,0.8675373134328358
g05_60.1,467.0,0.8778195488721805
g05_60.2,470.0,0.888468809073724
g05_60.3,471.0,0.8754646840148699
g05_60.4,485.0,0.920303605313093
g05_60.5,474.0,0.8893058161350844
g05_60.6,483.0,0.9096045197740112
g05_60.7,492.0,0.9196261682242991
g05_60.8,481.0,0.9075471698113208
g05_60.9,488.0,0.9155722326454033
g05_80.0,821.0,0.883745963401507
g05_80.1,860.0,0.9139213602550478
g05_80.2,858.0,0.9186295503211992
g05_80.3,828.0,0.8970747562296858
g05_80.4,845.0,0.9066523605150214
g05_80.5,842.0,0.9092872570194385
g05_80.6,841.0,0.9052744886975242
g05_80.7,837.0,0.9009687836383208
g05_80.8,889.0,0.961081081081081
g05_80.9,820.0,0.8884073672806068
g05_100.0,1285.0,0.8986013986013986
g05_100.1,1318.0,0.9249122807017544
g05_100.2,1288.0,0.8994413407821229
g05_100.3,1296.0,0.9101123595505618
g05_100.4,1314.0,0.9125
g05_100.5,1297.0,0.9032033426183844
g05_100.6,1293.0,0.9016736401673641
g05_100.7,1297.0,0.9063591893780573
g05_100.8,1302.0,0.909217877094972
g05_100.9,1284.0,0.8979020979020979
