problem_name,cost,approx_ratio,n_steps
g05_60.0,518.0,0.9664179104477612,7
g05_60.1,484.0,0.9097744360902256,5
g05_60.2,476.0,0.8998109640831758,4
g05_60.3,490.0,0.9107806691449815,4
g05_60.4,498.0,0.9449715370018975,3
g05_60.5,477.0,0.8949343339587242,3
g05_60.6,501.0,0.943502824858757,3
g05_60.7,512.0,0.9570093457943926,4
g05_60.8,482.0,0.909433962264151,3
g05_60.9,497.0,0.9324577861163227,4
g05_80.0,883.0,0.9504843918191603,7
g05_80.1,860.0,0.9139213602550478,2
g05_80.2,869.0,0.930406852248394,5
g05_80.3,889.0,0.9631635969664138,6
g05_80.4,850.0,0.9120171673819742,4
g05_80.5,859.0,0.927645788336933,5
g05_80.6,909.0,0.9784714747039828,5
g05_80.7,905.0,0.9741657696447793,4
g05_80.8,894.0,0.9664864864864865,5
g05_80.9,879.0,0.952329360780065,5
g05_100.0,1392.0,0.9734265734265735,4
g05_100.1,1393.0,0.9775438596491228,7
g05_100.2,1323.0,0.9238826815642458,5
g05_100.3,1366.0,0.9592696629213483,6
g05_100.4,1373.0,0.9534722222222223,6
g05_100.5,1403.0,0.9770194986072424,6
g05_100.6,1363.0,0.9504881450488145,5
g05_100.7,1369.0,0.9566736547868623,3
g05_100.8,1373.0,0.9587988826815642,6
g05_100.9,1396.0,0.9762237762237762,3
