problem_name,cost,approx_ratio
g05_60.0,508.0,0.9477611940298507
g05_60.1,480.0,0.9022556390977443
g05_60.2,492.0,0.9300567107750473
g05_60.3,522.0,0.9702602230483272
g05_60.4,485.0,0.920303605313093
g05_60.5,510.0,0.9568480300187617
g05_60.6,483.0,0.9096045197740112
g05_60.7,492.0,0.9196261682242991
g05_60.8,481.0,0.9075471698113208
g05_60.9,519.0,0.9737335834896811
g05_80.0,895.0,0.9634015069967707
g05_80.1,860.0,0.9139213602550478
g05_80.2,902.0,0.9657387580299786
g05_80.3,876.0,0.9490790899241603
g05_80.4,900.0,0.9656652360515021
g05_80.5,844.0,0.9114470842332614
g05_80.6,887.0,0.9547900968783638
g05_80.7,897.0,0.9655543595263725
g05_80.8,891.0,0.9632432432432433
g05_80.9,896.0,0.9707475622968581
g05_100.0,1352.0,0.9454545454545454
g05_100.1,1330.0,0.9333333333333333
g05_100.2,1317.0,0.9196927374301676
g05_100.3,1318.0,0.925561797752809
g05_100.4,1296.0,0.9
g05_100.5,1297.0,0.9032033426183844
g05_100.6,1363.0,0.9504881450488145
g05_100.7,1297.0,0.9063591893780573
g05_100.8,1302.0,0.909217877094972
g05_100.9,1284.0,0.8979020979020979
