problem_name,cost,approx_ratio,n_steps,n_pruned,first_seen
er_14_0.3_0,18.0,0.8571428571428571,9,664,2
er_14_0.3_1,16.0,0.8421052631578947,13,882,2
er_14_0.3_2,20.0,0.8695652173913043,7,664,1
er_14_0.5_0,27.0,0.84375,8,881,7
er_14_0.5_1,27.0,0.9,5,442,1
er_14_0.5_2,26.0,0.896551724137931,11,1110,8
er_14_0.6_0,43.0,1.0,4,245,1
er_14_0.6_1,37.0,0.925,12,1103,1
er_14_0.6_2,30.0,0.8333333333333334,14,1541,2
er_14_0.7_0,38.0,0.926829268292683,7,444,1
er_14_0.7_1,39.0,0.9285714285714286,9,668,4
er_14_0.7_2,42.0,0.9333333333333333,11,1108,3
er_16_0.3_0,26.0,1.0,33,2928,30
er_16_0.3_1,27.0,0.84375,20,1555,2
er_16_0.3_2,26.0,0.8387096774193549,8,447,5
er_16_0.5_0,38.0,0.95,11,504,3
er_16_0.5_1,41.0,0.9761904761904762,6,233,1
er_16_0.5_2,35.0,0.9459459459459459,11,542,3
er_16_0.6_0,46.0,1.0,23,1978,3
er_16_0.6_1,40.0,0.9523809523809523,28,2221,12
er_16_0.6_2,44.0,0.9166666666666666,16,923,1
er_16_0.7_0,55.0,0.9821428571428571,17,1142,5
er_16_0.7_1,51.0,0.9444444444444444,6,241,2
er_16_0.7_2,57.0,1.0,18,1299,11
er_18_0.3_0,35.0,0.8536585365853658,12,701,1
er_18_0.3_1,37.0,0.9487179487179487,34,1835,26
er_18_0.3_2,29.0,0.8787878787878788,64,4489,45
er_18_0.5_0,50.0,0.9433962264150944,21,978,5
er_18_0.5_1,47.0,0.9215686274509803,8,239,7
er_18_0.5_2,47.0,0.9038461538461539,13,518,11
er_18_0.6_0,56.0,0.9824561403508771,55,2826,35
er_18_0.6_1,58.0,1.0,15,892,14
er_18_0.6_2,58.0,0.9206349206349206,20,897,5
er_18_0.7_0,66.0,0.9565217391304348,13,896,2
er_18_0.7_1,64.0,0.9552238805970149,22,1207,17
er_18_0.7_2,64.0,0.9411764705882353,35,1836,21
er_20_0.3_0,35.0,0.8974358974358975,19,912,7
er_20_0.3_1,38.0,0.8636363636363636,10,247,1
er_20_0.3_2,45.0,0.9375,37,1752,37
er_20_0.5_0,59.0,0.8805970149253731,20,1147,6
er_20_0.5_1,58.0,0.9354838709677419,44,1623,12
er_20_0.5_2,56.0,0.9180327868852459,28,955,1
er_20_0.6_0,74.0,0.925,10,269,5
er_20_0.6_1,69.0,0.9078947368421053,44,2439,12
er_20_0.6_2,72.0,0.9473684210526315,18,627,12
er_20_0.7_0,77.0,0.9506172839506173,47,1914,31
er_20_0.7_1,73.0,0.9358974358974359,10,315,3
er_20_0.7_2,83.0,0.9880952380952381,34,2345,7
geo_14_0.1_0,11.0,0.8461538461538461,20,47,16
geo_14_0.1_1,11.0,0.7857142857142857,23,70,1
geo_14_0.1_2,13.0,1.0,4,223,1
geo_14_0.3_0,14.0,1.0,14,1547,2
geo_14_0.3_1,17.0,1.0,12,1107,3
geo_14_0.3_2,15.0,1.0,13,1322,5
geo_14_0.5_0,35.0,1.0,11,1118,2
geo_14_0.5_1,28.0,1.0,11,1110,8
geo_14_0.5_2,24.0,1.0,12,1107,2
geo_14_0.6_0,40.0,0.975609756097561,15,1760,14
geo_14_0.6_1,40.0,0.9523809523809523,14,1543,13
geo_14_0.6_2,31.0,0.9117647058823529,12,1325,8
geo_16_0.1_0,15.0,1.0,29,2428,3
geo_16_0.1_1,15.0,1.0,32,2675,6
geo_16_0.1_2,14.0,0.875,35,1726,3
geo_16_0.3_0,22.0,0.9565217391304348,25,1788,11
geo_16_0.3_1,24.0,1.0,10,459,2
geo_16_0.3_2,22.0,0.9565217391304348,36,2907,2
geo_16_0.5_0,30.0,0.9090909090909091,12,675,6
geo_16_0.5_1,38.0,0.926829268292683,12,885,2
geo_16_0.5_2,29.0,0.9354838709677419,22,1559,8
geo_16_0.6_0,44.0,0.9166666666666666,33,2652,22
geo_16_0.6_1,56.0,1.0,26,1997,23
geo_16_0.6_2,44.0,1.0,23,1578,3
geo_18_0.1_0,17.0,1.0,99,8042,2
geo_18_0.1_1,19.0,1.0,9,474,1
geo_18_0.1_2,18.0,1.0,21,1246,1
geo_18_0.3_0,24.0,1.0,54,3425,28
geo_18_0.3_1,22.0,1.0,17,684,1
geo_18_0.3_2,21.0,0.875,78,6433,31
geo_18_0.5_0,49.0,0.9245283018867925,15,472,5
geo_18_0.5_1,41.0,0.9318181818181818,42,3111,18
geo_18_0.5_2,42.0,0.9545454545454546,13,494,1
geo_18_0.6_0,57.0,0.9827586206896551,21,752,3
geo_18_0.6_1,55.0,0.9649122807017544,57,4124,38
geo_18_0.6_2,42.0,0.9767441860465116,50,3069,3
geo_20_0.1_0,17.0,0.8947368421052632,82,6155,73
geo_20_0.1_1,19.0,1.0,56,2901,1
geo_20_0.1_2,21.0,0.9130434782608695,94,6427,20
geo_20_0.3_0,32.0,0.9411764705882353,91,5882,6
geo_20_0.3_1,25.0,1.0,79,5824,1
geo_20_0.3_2,28.0,0.9655172413793104,39,1574,5
geo_20_0.5_0,60.0,0.967741935483871,37,2242,26
geo_20_0.5_1,70.0,1.0,52,2461,39
geo_20_0.5_2,51.0,0.9272727272727272,36,1653,2
geo_20_0.6_0,62.0,0.96875,52,2747,40
geo_20_0.6_1,81.0,0.9759036144578314,36,1981,2
geo_20_0.6_2,81.0,0.9878048780487805,95,6508,92
