problem_name,cost,approx_ratio,n_steps
g05_60.0,486.0,0.9067164179104478,4
g05_60.1,481.0,0.9041353383458647,4
g05_60.2,517.0,0.9773156899810964,3
g05_60.3,472.0,0.8773234200743495,2
g05_60.4,485.0,0.920303605313093,2
g05_60.5,474.0,0.8893058161350844,2
g05_60.6,485.0,0.9133709981167608,3
g05_60.7,492.0,0.9196261682242991,2
g05_60.8,481.0,0.9075471698113208,2
g05_60.9,475.0,0.8911819887429644,2
g05_80.0,851.0,0.9160387513455328,3
g05_80.1,872.0,0.926673751328374,4
g05_80.2,852.0,0.9122055674518201,5
g05_80.3,823.0,0.8916576381365113,2
g05_80.4,842.0,0.9034334763948498,3
g05_80.5,840.0,0.9071274298056156,3
g05_80.6,841.0,0.9052744886975242,2
g05_80.7,827.0,0.8902045209903121,2
g05_80.8,858.0,0.9275675675675675,3
g05_80.9,826.0,0.894907908992416,3
g05_100.0,1303.0,0.9111888111888112,2
g05_100.1,1294.0,0.9080701754385965,4
g05_100.2,1306.0,0.9120111731843575,3
g05_100.3,1301.0,0.913623595505618,3
g05_100.4,1293.0,0.8979166666666667,2
g05_100.5,1308.0,0.9108635097493036,4
g05_100.6,1294.0,0.902370990237099,2
g05_100.7,1323.0,0.9245283018867925,3
g05_100.8,1322.0,0.9231843575418994,3
g05_100.9,1329.0,0.9293706293706294,4
